Species	SeqID	Sigma	Phi
Brap	Centroid	0.3940901012569324	0.6894588965454532
Mcha	Centroid	0.24861936699883871	0.44878875783967176
Natt	Centroid	0.04849735937482955	0.2242743687342349
Ccle	Centroid	0.23148867920600294	0.5056948267157092
Csub	Centroid	0.7842403454100928	0.8972928126216217
Adur	Centroid	0.11283228294195921	0.43797370336712727
Dzib	Centroid	0.18925583693694437	0.5058185548072847
Cmos	Centroid	0.46269695299804997	0.65682300807191
Palb	Centroid	0.1267025056051114	0.2737332986044383
Phal	Centroid	0.23301161275598498	0.567467033078365
Qlob	Centroid	0.08976804453450214	0.26336894630521457
Mpus	Centroid	0.9455026941737521	0.9884355172577091
Cmax	Centroid	0.5339799735234564	0.7124975092242466
Cari	Centroid	0.16530080456545937	0.40095820102707147
Ccar	Centroid	0.11256093611173068	0.29962551848959645
Rchi	Centroid	0.18233911624295493	0.4960072817072066
Macu	Centroid	0.43931788510345454	0.6480107550450013
Aipa	Centroid	0.09439659710978267	0.41372125189262104
Pvul	Centroid	0.11183741067731062	0.3118313112716193
Mnot	Centroid	0.15737827116401265	0.3573993652488893
Crub	Centroid	0.5934465692325878	0.8213210486356796
Sole	Centroid	0.2566519665081694	0.47229216886623393
Esal	Centroid	0.27238448243450747	0.5546617166294238
Cmer	Centroid	0.6529790534329742	0.8298019418852118
Rarg	Centroid	0.2767799977157085	0.5077249396820678
Cmer	Centroid	0.6529790534329742	0.8298019418852118
Rarg	Centroid	0.2767799977157085	0.5077249396820678
Cvar	Centroid	0.7686008355099146	0.9238406412497603
Smoe	Centroid	0.4841518757701813	0.9014884137396149
Spen	Centroid	0.13401293272443884	0.46090560883613735
Apre	Centroid	0.1713582146221713	0.3834790491833449
Jreg	Centroid	0.15325134252442885	0.321338153308283
Humb	Centroid	0.28019233409036676	0.5197779349196859
Vcar	Centroid	0.4908114863204613	0.6623073804616864
Zjuj	Centroid	0.24812220157773543	0.5550404591856961
Pavi	Centroid	0.49563041501777394	0.718609812382215
Thas	Centroid	0.5302279330745252	0.7892331476397555
Lang	Centroid	0.21240435677347	0.46688077858598503
Aoff	Centroid	0.08315940940062708	0.35140158140269956
Ceug	Centroid	0.13970135734582945	0.3940274106848411
Apro	Centroid	0.7975545076885482	0.8547297297297297
Qsub	Centroid	0.07906688429607706	0.23484497132594537
Obra	Centroid	0.2136234819246794	0.44537091062320394
